"id_cell","x","y","Freq 1","Freq 2","Freq 3","Freq 4","Freq 5","Freq 6","Freq 7"
95,-74.045075543,40.86626753,0,0,0,0,0,0,0
96,-74.025075543,40.86626753,0,0,0,0,0,0,0
97,-74.005075543,40.86626753,0,0,0,0,0,0,0
98,-73.985075543,40.86626753,0,0,0,0,0,0,0
99,-73.965075543,40.86626753,0,0,0,0,0,0,0
100,-73.945075543,40.86626753,0,0,0,0,0,0,0
101,-73.925075543,40.86626753,112,256,431,182,75,34,2
102,-73.905075543,40.86626753,242,345,1116,276,127,50,0
103,-73.885075543,40.86626753,187,296,669,272,116,41,0
104,-73.865075543,40.86626753,134,157,345,134,68,37,0
105,-73.845075543,40.86626753,41,73,155,72,33,27,0
106,-73.825075543,40.86626753,24,150,478,29,8,23,0
107,-73.805075543,40.86626753,0,1,7,0,0,0,0
108,-73.785075543,40.86626753,0,0,0,0,0,0,0
109,-73.765075543,40.86626753,0,0,0,0,0,0,0
110,-73.745075543,40.86626753,0,0,0,0,0,0,0
111,-73.725075543,40.86626753,0,0,0,0,0,0,0
112,-73.705075543,40.86626753,0,0,0,0,0,0,0
113,-74.245075543,40.85126753,0,0,0,0,0,0,0
114,-74.225075543,40.85126753,0,0,0,0,0,0,0
115,-74.205075543,40.85126753,0,0,0,0,0,0,0
116,-74.185075543,40.85126753,0,0,0,0,0,0,0
117,-74.165075543,40.85126753,0,0,0,0,0,0,0
118,-74.145075543,40.85126753,0,0,0,0,0,0,0
119,-74.125075543,40.85126753,0,0,0,0,0,0,0
120,-74.105075543,40.85126753,0,0,0,0,0,0,0
121,-74.085075543,40.85126753,0,0,0,0,0,0,0
122,-74.065075543,40.85126753,0,0,0,0,0,0,0
123,-74.045075543,40.85126753,0,0,0,0,0,0,0
124,-74.025075543,40.85126753,0,0,0,0,0,0,0
125,-74.005075543,40.85126753,0,0,0,0,0,0,0
126,-73.985075543,40.85126753,0,0,0,0,0,0,0
127,-73.965075543,40.85126753,0,0,0,0,0,0,0
128,-73.945075543,40.85126753,51,142,292,55,21,17,0
129,-73.925075543,40.85126753,179,296,563,255,103,53,0
130,-73.905075543,40.85126753,355,380,833,459,190,77,0
131,-73.885075543,40.85126753,203,273,547,308,127,40,0
132,-73.865075543,40.85126753,73,146,251,82,68,42,0
133,-73.845075543,40.85126753,15,79,193,42,30,38,0
134,-73.825075543,40.85126753,22,64,100,16,18,26,0
